Vardas         Pavarde        Nd1     Nd2     Nd3     Nd4     Nd5     Egzaminas 
Jonas          Gecys          6       10      6       1       3       2         
Petras         Raugalas       9       7       4       4       1       4         
Jone           Kasklause      10      3       7       2       1       8         
Romas          Pedas          6       4       4       5       10      4         
Gytis          Netavorei      1       1       9       5       5       5 
Borisas        Kurmis         4       1       3       8       6       4         
Gitana         Yesseda        2       8       9       2       10      2         
Gubartas       Kaspervardas   1       2       4       9       4       9         
Paulius        Volkswagenas   9       2       5       9       4       4         
Egzas          Islaikytas     2       9       4       2       2       6         
Deja           Netaumartynai  4       4       6       7       5       5         
Giedrius       Piedrius       6       8       1       4       8       7         
Stasys         Ausys          2       6       6       10      10      5         
Hubertas       Bubertas       1       5       8       8       3       10        
Jolanta        Nolanta        3       7       9       9       2       2         
Veberis        Smegeris       2       10      4       5       6       7         
Autas          Busas          5       10      6       4       8       6         
Trolis         Busis          4       2       3       6       5       9         
Ausis          Nosis          10      2       1       8       2       7         
Miaukis        Paukis         9       4       9       2       9       9         
