Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egz.   

Vardas1             Pavarde1            5      6      4      1      5      7      
Vardas2             Pavarde2            10     3      1      10     6      1      
Vardas3             Pavarde3            6      2      6      5      9      3      
Vardas4             Pavarde4            1      1      2      4      4      9      
Vardas5             Pavarde5            3      7      5      10     7      6      
Vardas6             Pavarde6            6      2      1      2      1      5      
Vardas7             Pavarde7            6      4      1      7      1      3      
Vardas8             Pavarde8            7      5      2      5      9      3      
Vardas9             Pavarde9            3      1      3      9      10     10     
Vardas10            Pavarde10           6      10     3      6      5      1      
Vardas11            Pavarde11           6      4      7      8      3      3      
Vardas12            Pavarde12           6      7      8      8      5      8      
Vardas13            Pavarde13           8      1      8      5      8      2      
Vardas14            Pavarde14           3      6      5      2      5      5      
Vardas15            Pavarde15           10     9      5      8      8      3      
Vardas16            Pavarde16           8      9      10     1      4      8      
Vardas17            Pavarde17           3      8      9      8      8      1      
Vardas18            Pavarde18           6      5      6      2      10     9      
Vardas19            Pavarde19           1      2      10     8      9      2      
Vardas20            Pavarde20           3      3      2      3      3      9      
Vardas21            Pavarde21           7      2      5      4      6      7      
Vardas22            Pavarde22           4      3      5      5      8      5      
Vardas23            Pavarde23           7      1      9      3      2      5      
Vardas24            Pavarde24           6      1      1      1      9      9      
Vardas25            Pavarde25           8      2      4      2      1      5      
Vardas26            Pavarde26           1      6      2      5      8      9      
Vardas27            Pavarde27           7      1      2      7      3      8      
Vardas28            Pavarde28           6      10     2      6      1      1      
Vardas29            Pavarde29           8      8      4      1      3      6      
Vardas30            Pavarde30           4      1      10     7      5      1      
Vardas31            Pavarde31           8      4      4      6      7      6      
Vardas32            Pavarde32           8      3      1      3      3      10     
Vardas33            Pavarde33           1      5      5      8      7      7      
Vardas34            Pavarde34           9      8      1      6      3      8      
Vardas35            Pavarde35           5      5      1      2      9      1      
Vardas36            Pavarde36           6      6      5      2      1      2      
Vardas37            Pavarde37           9      3      10     8      10     2      
Vardas38            Pavarde38           5      3      1      1      4      8      
Vardas39            Pavarde39           10     3      8      10     5      3      
Vardas40            Pavarde40           2      8      7      9      4      2      
Vardas41            Pavarde41           6      4      7      1      9      1      
Vardas42            Pavarde42           4      9      4      6      9      6      
Vardas43            Pavarde43           4      2      3      10     3      9      
Vardas44            Pavarde44           5      9      7      8      2      10     
Vardas45            Pavarde45           8      8      7      8      3      6      
Vardas46            Pavarde46           8      7      9      5      1      9      
Vardas47            Pavarde47           6      6      7      4      4      7      
Vardas48            Pavarde48           6      2      4      8      2      5      
Vardas49            Pavarde49           7      9      10     3      8      1      
Vardas50            Pavarde50           2      8      3      5      7      8      
Vardas51            Pavarde51           2      1      2      6      7      5      
Vardas52            Pavarde52           5      2      7      4      5      8      
Vardas53            Pavarde53           1      10     4      3      7      6      
Vardas54            Pavarde54           2      5      2      7      9      9      
Vardas55            Pavarde55           6      7      3      5      7      10     
Vardas56            Pavarde56           3      10     7      8      2      5      
Vardas57            Pavarde57           2      5      9      4      4      6      
Vardas58            Pavarde58           1      8      3      4      2      5      
Vardas59            Pavarde59           7      5      9      6      6      8      
Vardas60            Pavarde60           4      7      3      7      6      3      
Vardas61            Pavarde61           6      8      3      2      5      5      
Vardas62            Pavarde62           10     5      5      2      8      3      
Vardas63            Pavarde63           2      1      10     5      7      1      
Vardas64            Pavarde64           7      1      8      6      1      3      
Vardas65            Pavarde65           6      4      7      3      3      3      
Vardas66            Pavarde66           5      3      3      1      7      8      
Vardas67            Pavarde67           10     3      10     2      9      6      
Vardas68            Pavarde68           10     6      5      6      8      9      
Vardas69            Pavarde69           5      4      7      8      3      4      
Vardas70            Pavarde70           9      3      2      3      9      1      
Vardas71            Pavarde71           2      5      10     8      3      5      
Vardas72            Pavarde72           2      7      10     8      6      9      
Vardas73            Pavarde73           10     9      2      2      5      1      
Vardas74            Pavarde74           5      4      5      8      3      9      
Vardas75            Pavarde75           2      5      5      7      10     10     
Vardas76            Pavarde76           8      5      3      1      4      3      
Vardas77            Pavarde77           7      1      1      7      1      3      
Vardas78            Pavarde78           1      1      4      7      8      2      
Vardas79            Pavarde79           6      1      6      8      7      2      
Vardas80            Pavarde80           2      2      4      3      3      8      
Vardas81            Pavarde81           10     10     3      2      7      5      
Vardas82            Pavarde82           8      9      8      2      2      7      
Vardas83            Pavarde83           10     10     2      9      4      10     
Vardas84            Pavarde84           9      4      2      3      6      1      
Vardas85            Pavarde85           3      1      9      9      3      2      
Vardas86            Pavarde86           2      10     5      3      7      7      
Vardas87            Pavarde87           8      2      1      2      2      7      
Vardas88            Pavarde88           5      8      2      7      8      10     
Vardas89            Pavarde89           5      8      10     1      2      3      
Vardas90            Pavarde90           8      6      7      7      10     1      
Vardas91            Pavarde91           8      5      6      7      4      7      
Vardas92            Pavarde92           2      1      7      8      10     7      
Vardas93            Pavarde93           7      5      8      8      3      8      
Vardas94            Pavarde94           1      5      6      3      2      8      
Vardas95            Pavarde95           1      10     5      8      7      4      
Vardas96            Pavarde96           10     1      6      1      3      10     
Vardas97            Pavarde97           7      1      1      2      8      2      
Vardas98            Pavarde98           10     8      1      3      5      1      
Vardas99            Pavarde99           3      1      6      6      5      2      
Vardas100           Pavarde100          9      5      3      7      6      1      
Vardas101           Pavarde101          8      6      7      4      3      5      
Vardas102           Pavarde102          4      10     5      7      4      4      
Vardas103           Pavarde103          1      10     5      4      5      7      
Vardas104           Pavarde104          9      9      4      9      2      4      
Vardas105           Pavarde105          2      7      7      8      9      9      
Vardas106           Pavarde106          9      7      6      6      2      5      
Vardas107           Pavarde107          7      10     8      7      8      7      
Vardas108           Pavarde108          2      1      3      9      9      9      
Vardas109           Pavarde109          7      10     1      7      6      1      
Vardas110           Pavarde110          5      6      9      7      4      7      
Vardas111           Pavarde111          1      4      10     2      5      8      
Vardas112           Pavarde112          2      3      7      1      3      1      
Vardas113           Pavarde113          3      3      10     2      9      9      
Vardas114           Pavarde114          4      7      5      9      10     4      
Vardas115           Pavarde115          3      7      9      4      2      7      
Vardas116           Pavarde116          3      9      5      7      9      10     
Vardas117           Pavarde117          1      3      7      7      5      9      
Vardas118           Pavarde118          5      2      3      7      7      6      
Vardas119           Pavarde119          4      5      4      7      10     7      
Vardas120           Pavarde120          7      7      3      2      9      1      
Vardas121           Pavarde121          7      2      6      9      7      5      
Vardas122           Pavarde122          2      2      10     8      6      9      
Vardas123           Pavarde123          10     6      7      10     3      5      
Vardas124           Pavarde124          4      5      4      7      8      1      
Vardas125           Pavarde125          4      7      4      2      10     6      
Vardas126           Pavarde126          4      6      10     1      6      7      
Vardas127           Pavarde127          5      3      8      7      8      2      
Vardas128           Pavarde128          8      6      5      7      1      2      
Vardas129           Pavarde129          7      9      6      7      2      10     
Vardas130           Pavarde130          5      10     9      5      10     9      
Vardas131           Pavarde131          1      6      6      6      10     3      
Vardas132           Pavarde132          5      5      1      9      3      7      
Vardas133           Pavarde133          10     9      3      4      2      6      
Vardas134           Pavarde134          10     5      10     6      6      6      
Vardas135           Pavarde135          10     8      5      1      5      9      
Vardas136           Pavarde136          5      5      7      3      7      6      
Vardas137           Pavarde137          2      10     4      5      8      7      
Vardas138           Pavarde138          5      6      6      7      8      3      
Vardas139           Pavarde139          6      10     6      3      4      10     
Vardas140           Pavarde140          6      7      8      10     1      9      
Vardas141           Pavarde141          1      7      10     6      1      8      
Vardas142           Pavarde142          2      8      1      9      3      7      
Vardas143           Pavarde143          4      3      10     5      3      2      
Vardas144           Pavarde144          6      3      2      1      6      8      
Vardas145           Pavarde145          2      5      10     8      2      10     
Vardas146           Pavarde146          9      6      3      6      8      5      
Vardas147           Pavarde147          6      10     7      5      4      10     
Vardas148           Pavarde148          10     9      9      1      8      7      
Vardas149           Pavarde149          5      5      3      6      1      4      
Vardas150           Pavarde150          5      4      7      9      4      3      
Vardas151           Pavarde151          9      4      8      2      9      1      
Vardas152           Pavarde152          1      8      10     10     1      5      
Vardas153           Pavarde153          3      10     3      2      5      4      
Vardas154           Pavarde154          1      3      9      9      8      3      
Vardas155           Pavarde155          7      10     6      5      6      7      
Vardas156           Pavarde156          3      10     1      6      3      6      
Vardas157           Pavarde157          5      10     7      1      6      9      
Vardas158           Pavarde158          3      7      2      7      10     1      
Vardas159           Pavarde159          8      2      3      8      2      1      
Vardas160           Pavarde160          10     2      10     3      4      5      
Vardas161           Pavarde161          3      6      3      9      6      2      
Vardas162           Pavarde162          8      9      3      5      3      4      
Vardas163           Pavarde163          6      10     2      6      3      8      
Vardas164           Pavarde164          4      1      1      7      6      4      
Vardas165           Pavarde165          1      9      10     1      2      8      
Vardas166           Pavarde166          1      8      4      8      6      8      
Vardas167           Pavarde167          3      5      7      9      10     10     
Vardas168           Pavarde168          6      8      4      4      9      4      
Vardas169           Pavarde169          7      7      1      9      2      4      
Vardas170           Pavarde170          1      4      5      5      3      2      
Vardas171           Pavarde171          1      4      4      2      5      5      
Vardas172           Pavarde172          3      4      6      10     5      5      
Vardas173           Pavarde173          10     5      3      4      9      3      
Vardas174           Pavarde174          5      9      1      2      5      10     
Vardas175           Pavarde175          7      9      2      5      10     10     
Vardas176           Pavarde176          4      9      2      7      2      3      
Vardas177           Pavarde177          2      2      1      1      5      2      
Vardas178           Pavarde178          4      9      1      4      9      6      
Vardas179           Pavarde179          9      7      10     10     4      8      
Vardas180           Pavarde180          2      6      10     2      8      10     
Vardas181           Pavarde181          2      10     5      1      1      10     
Vardas182           Pavarde182          3      5      6      1      5      7      
Vardas183           Pavarde183          3      4      4      6      1      6      
Vardas184           Pavarde184          4      3      6      10     10     7      
Vardas185           Pavarde185          10     4      8      3      5      6      
Vardas186           Pavarde186          8      6      1      2      8      10     
Vardas187           Pavarde187          5      2      3      8      9      2      
Vardas188           Pavarde188          4      3      8      3      9      8      
Vardas189           Pavarde189          2      9      4      2      9      1      
Vardas190           Pavarde190          3      2      10     4      6      6      
Vardas191           Pavarde191          1      8      9      7      8      1      
Vardas192           Pavarde192          1      7      2      8      6      5      
Vardas193           Pavarde193          2      2      4      3      4      3      
Vardas194           Pavarde194          10     7      2      8      7      4      
Vardas195           Pavarde195          1      2      5      10     6      5      
Vardas196           Pavarde196          10     2      4      7      6      5      
Vardas197           Pavarde197          10     7      3      3      6      1      
Vardas198           Pavarde198          10     6      4      3      4      2      
Vardas199           Pavarde199          10     3      2      7      5      2      
Vardas200           Pavarde200          2      1      1      7      3      5      
Vardas201           Pavarde201          6      9      2      6      2      5      
Vardas202           Pavarde202          2      1      1      7      8      3      
Vardas203           Pavarde203          2      6      2      1      5      7      
Vardas204           Pavarde204          8      7      5      8      9      5      
Vardas205           Pavarde205          4      2      6      9      4      4      
Vardas206           Pavarde206          5      6      2      1      3      5      
Vardas207           Pavarde207          7      1      1      4      1      10     
Vardas208           Pavarde208          10     7      8      8      1      8      
Vardas209           Pavarde209          1      9      3      1      3      1      
Vardas210           Pavarde210          7      1      6      9      3      6      
Vardas211           Pavarde211          5      8      2      3      1      6      
Vardas212           Pavarde212          3      7      1      7      6      7      
Vardas213           Pavarde213          3      1      7      4      10     8      
Vardas214           Pavarde214          1      3      8      4      10     4      
Vardas215           Pavarde215          2      9      7      4      9      7      
Vardas216           Pavarde216          7      5      10     5      1      6      
Vardas217           Pavarde217          3      7      10     5      9      9      
Vardas218           Pavarde218          10     8      8      9      9      9      
Vardas219           Pavarde219          10     9      10     10     9      3      
Vardas220           Pavarde220          9      6      1      2      3      2      
Vardas221           Pavarde221          4      10     6      7      3      8      
Vardas222           Pavarde222          2      3      3      5      8      2      
Vardas223           Pavarde223          5      3      2      2      2      2      
Vardas224           Pavarde224          7      4      8      8      5      6      
Vardas225           Pavarde225          9      2      1      4      5      6      
Vardas226           Pavarde226          7      4      4      3      7      10     
Vardas227           Pavarde227          6      3      6      8      3      6      
Vardas228           Pavarde228          4      7      7      7      4      3      
Vardas229           Pavarde229          6      8      2      8      3      8      
